decision_id,relationship_id,context_space_id,context_rule_ids_json,previous_validation_status,new_validation_status,previous_strategy_eligibility,new_strategy_eligibility,strategy_lane,decision_reason,evidence_summary,schema_version,ingested_ts_ms,market_id_a,market_id_b,question_a,question_b,relationship_type,relationship_subtype,relationship_family
2eb445960b66168b22d2ae3d90e6cc9e,0002fe4a133bee51b0bc44dbfb947f5c,,[],rejected,rejected,ineligible,ineligible,research_only,context space not configured,,1,1778842439722,558945,558956,Will Mexico win the 2026 FIFA World Cup?,Will Paraguay win the 2026 FIFA World Cup?,rejected,same_topic_no_trade,
efaf690bca33a85a8dedb81a8967b896,0020d0eea05b45bdd71a098690ec8d57,,[],rejected,rejected,eligible,ineligible,research_only,context space not configured,,1,1778842439757,559668,559685,Will Mark Kelly win the 2028 Democratic presidential nomination?,Will MrBeast win the 2028 Democratic presidential nomination?,rejected,candidate_wins_nomination,
34bd920ef16d49c6f5b6355a458bc3d9,0027669298054b22ecd5168b88fc32c1,,[],rejected,rejected,ineligible,ineligible,research_only,context space not configured,,1,1778842439864,577240,577244,Will Iago Aspas be the top goal scorer in the 2025–26 La Liga season?,Will Inaki Williams be the top goal scorer in the 2025–26 La Liga season?,rejected,same_topic_no_trade,
d10ebef4742cbe0a29963dd2514fcbd7,002b6d343ef9baf37d3ff02588637741,,[],rejected,rejected,ineligible,ineligible,research_only,context space not configured,,1,1778842439815,577237,577241,Will Javi Puado be the top goal scorer in the 2025–26 La Liga season?,Will Cristhian Stuani be the top goal scorer in the 2025–26 La Liga season?,rejected,same_topic_no_trade,
f35c8189b368cf3ddda91be550d83b5d,00320849ad97d252d797152c9051f4a7,,[],rejected,rejected,ineligible,ineligible,research_only,context space not configured,,1,1778842439861,558934,558981,Will Spain win the 2026 FIFA World Cup?,Will Congo DR win the 2026 FIFA World Cup?,rejected,same_topic_no_trade,
d74a88e480f1ed4d1effe1ed292a339e,003cbcc22065fb223e8cfe5926ce660c,,[],rejected,rejected,eligible,ineligible,research_only,context space not configured,,1,1778842439777,559666,559672,Will Tim Walz win the 2028 Democratic presidential nomination?,Will Roy Cooper win the 2028 Democratic presidential nomination?,rejected,candidate_wins_nomination,
7d4f508b1500a13eaec76c0ea77d6b1b,004b73b8ac3992f976f2a5bffae9aab4,,[],rejected,rejected,ineligible,ineligible,research_only,context space not configured,,1,1778842439887,569344,569373,Will Abelardo de la Espriella win the 1st round of the 2026 Colombian presidential election?,Will Paloma Valencia win the 2026 Colombian presidential election?,rejected,same_topic_no_trade,
ea41baa54bdfce62489d453ef6badc86,004d925e27e343562472c3838dc18e5c,,[],rejected,rejected,eligible,ineligible,research_only,context space not configured,,1,1778842439774,559673,559684,Will John Fetterman win the 2028 Democratic presidential nomination?,Will Chelsea Clinton win the 2028 Democratic presidential nomination?,rejected,candidate_wins_nomination,
6b1c46b5a90d27bfa42fb55a9e286756,004edb906cd82dc162edf89cee126f73,,[],accepted,accepted,eligible,ineligible,research_only,context space not configured,,1,1778842439713,561981,561998,Will Vivek Ramaswamy win the 2028 Republican presidential nomination?,Will Ivanka Trump win the 2028 Republican presidential nomination?,mutually_exclusive_category,candidate_wins_nomination,category
1f9c5fe36413a800cdb014e0244a97ae,005618f7b814a3a7698a9ab84fae69b0,,[],rejected,rejected,ineligible,ineligible,research_only,context space not configured,,1,1778842439722,558958,558971,Will Australia win the 2026 FIFA World Cup?,Will Qatar win the 2026 FIFA World Cup?,rejected,same_topic_no_trade,
