bucket,source_file,relationship_id,bundle_event_id,relationship_type,relationship_subtype,outcome_space_id,strategy_lane,question_a,question_b,flags,rejection_reason,suggested_action
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
accepted_strict,trade_candidates.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,,,strict_context_valid,,,,,
rejected,blocked_opportunities.csv,2907f209dac17206145eeec68202e471,,rejected,candidate_winner_same_election,2028_us_presidential_election_candidate_winner,strict_context_valid,Will Ivanka Trump win the 2028 US Presidential Election?,Will James Talarico win the 2028 US Presidential Election?,low_confidence; season_missing; validation_rejected; weak_guard_evidence,relationship_confidence_below_threshold,
rejected,blocked_opportunities.csv,2b91decdf705a26456f02ef5b3565090,,rejected,team_wins_championship,world_cup_champion,strict_context_valid,Will Norway win the 2026 FIFA World Cup?,Will Saudi Arabia win the 2026 FIFA World Cup?,competition_missing; low_confidence; season_missing; validation_rejected; weak_guard_evidence,relationship_confidence_below_threshold,
rejected,blocked_opportunities.csv,33ef13374f011efefd74edb8f42dea12,,rejected,team_wins_championship,world_cup_champion,strict_context_valid,Will England win the 2026 FIFA World Cup?,Will Germany win the 2026 FIFA World Cup?,competition_missing; low_confidence; season_missing; validation_rejected; weak_guard_evidence,relationship_confidence_below_threshold,
rejected,blocked_opportunities.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,same_topic_no_trade,premier_league_finish_position,strict_context_valid,Will Manchester City win the 2025–26 English Premier League?,Will Manchester City finish in 2nd place in the 2025-26 English Premier League?,competition_missing; season_missing; weak_guard_evidence,market_exposure_limit,
rejected,blocked_opportunities.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,same_topic_no_trade,premier_league_finish_position,strict_context_valid,Will Manchester City win the 2025–26 English Premier League?,Will Manchester City finish in 2nd place in the 2025-26 English Premier League?,competition_missing; season_missing; weak_guard_evidence,market_exposure_limit,
rejected,blocked_opportunities.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,same_topic_no_trade,premier_league_finish_position,strict_context_valid,Will Manchester City win the 2025–26 English Premier League?,Will Manchester City finish in 2nd place in the 2025-26 English Premier League?,competition_missing; season_missing; weak_guard_evidence,market_exposure_limit,
rejected,blocked_opportunities.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,same_topic_no_trade,premier_league_finish_position,strict_context_valid,Will Manchester City win the 2025–26 English Premier League?,Will Manchester City finish in 2nd place in the 2025-26 English Premier League?,competition_missing; season_missing; weak_guard_evidence,market_exposure_limit,
rejected,blocked_opportunities.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,same_topic_no_trade,premier_league_finish_position,strict_context_valid,Will Manchester City win the 2025–26 English Premier League?,Will Manchester City finish in 2nd place in the 2025-26 English Premier League?,competition_missing; season_missing; weak_guard_evidence,market_exposure_limit,
rejected,blocked_opportunities.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,same_topic_no_trade,premier_league_finish_position,strict_context_valid,Will Manchester City win the 2025–26 English Premier League?,Will Manchester City finish in 2nd place in the 2025-26 English Premier League?,competition_missing; season_missing; weak_guard_evidence,market_exposure_limit,
rejected,blocked_opportunities.csv,3496b04d1407bfa617b8d7e95b3dfc9a,,inverse,same_topic_no_trade,premier_league_finish_position,strict_context_valid,Will Manchester City win the 2025–26 English Premier League?,Will Manchester City finish in 2nd place in the 2025-26 English Premier League?,competition_missing; season_missing; weak_guard_evidence,market_exposure_limit,
