relationship_id,market_id_a,market_id_b,type,family,status,strategy_eligibility,question_a,question_b,final_confidence,entity_score,time_score,threshold,candidate_a,candidate_b,shared_event
0bfed1102544c0b5c1004e56ae114d57,559664,559678,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will Liz Cheney win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,Liz Cheney,2028_democratic_presidential_nomination
ace30584469cff3f09dd38f9eecd90a6,559664,559669,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will Rahm Emanuel win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,Rahm Emanuel,2028_democratic_presidential_nomination
564f960768d45b186a84130de4871749,559664,559683,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will George Clooney win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,George Clooney,2028_democratic_presidential_nomination
ca5e0568d88d8605a101fc658242c8ad,559664,559684,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will Chelsea Clinton win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,Chelsea Clinton,2028_democratic_presidential_nomination
7438ea39d26c0db70da672b8ac9a40ee,559664,559686,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,Dwayne 'The Rock' Johnson,2028_democratic_presidential_nomination
af68d0af70b54b60f50e5393ce03a3a5,559664,559690,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will Kim Kardashian win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,Kim Kardashian,2028_democratic_presidential_nomination
0fcbe59d2ac276232bbc27a7f804b8de,559664,559695,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will James Talarico win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,James Talarico,2028_democratic_presidential_nomination
859bc13ab36f7fca964f0ea61522074c,559666,559692,mutually_exclusive_category,category,accepted,eligible,Will Tim Walz win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Tim Walz,Jasmine Crockett,2028_democratic_presidential_nomination
5134e660bb5820009f39cbcc77b7a862,559667,559692,mutually_exclusive_category,category,accepted,eligible,Will Michelle Obama win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Michelle Obama,Jasmine Crockett,2028_democratic_presidential_nomination
05048c6a01073b8d2448433c13af79da,559669,559692,mutually_exclusive_category,category,accepted,eligible,Will Rahm Emanuel win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Rahm Emanuel,Jasmine Crockett,2028_democratic_presidential_nomination
dbb06d0e3c89d56636e56b49f77fc571,559671,559692,mutually_exclusive_category,category,accepted,eligible,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Zohran Mamdani,Jasmine Crockett,2028_democratic_presidential_nomination
28151abeecb04b8cb68b4d5eab75cc1c,559677,559692,mutually_exclusive_category,category,accepted,eligible,Will Hillary Clinton win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Hillary Clinton,Jasmine Crockett,2028_democratic_presidential_nomination
f24596fb1ec1a83297a0862c02ff357e,559678,559692,mutually_exclusive_category,category,accepted,eligible,Will Liz Cheney win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Liz Cheney,Jasmine Crockett,2028_democratic_presidential_nomination
9cbd03a0734a8d75a0b1b450e85203a4,559681,559692,mutually_exclusive_category,category,accepted,eligible,Will LeBron James win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,LeBron James,Jasmine Crockett,2028_democratic_presidential_nomination
b784416ed3192365346a0902d9d73c9d,559683,559692,mutually_exclusive_category,category,accepted,eligible,Will George Clooney win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,George Clooney,Jasmine Crockett,2028_democratic_presidential_nomination
4871e4cd6ee664e30e46190db9475530,559684,559692,mutually_exclusive_category,category,accepted,eligible,Will Chelsea Clinton win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Chelsea Clinton,Jasmine Crockett,2028_democratic_presidential_nomination
eadd61d12be09cbdd90fc72eaef32a08,559686,559692,mutually_exclusive_category,category,accepted,eligible,Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Dwayne 'The Rock' Johnson,Jasmine Crockett,2028_democratic_presidential_nomination
2001a82f88ffc8b2313b1fcdde2dec9c,559690,559692,mutually_exclusive_category,category,accepted,eligible,Will Kim Kardashian win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Kim Kardashian,Jasmine Crockett,2028_democratic_presidential_nomination
9faaaf2f86fa9f07f52ab0d8104958bc,559692,559695,mutually_exclusive_category,category,accepted,eligible,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,Will James Talarico win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Jasmine Crockett,James Talarico,2028_democratic_presidential_nomination
bafa9186cf31c7b689dd1a21d6ad0ca7,561229,561251,mutually_exclusive_category,category,accepted,eligible,Will JD Vance win the 2028 US Presidential Election?,Will LeBron James win the 2028 US Presidential Election?,0.7,0.0,1.0,,JD Vance,LeBron James,2028_us_presidential_election
