relationship_id,market_id_a,market_id_b,question_a,question_b,relationship_type,relationship_subtype,relationship_family,context_space_id,context_rules_applied,lane,confidence,coverage_score_a,coverage_score_b,coverage_score_pair,aligned_ticks,gross_violations,positions_opened,realized_pnl,mtm_pnl,final_blocker
4aa9b9577769abc6b2617e899bc95949,562829,562830,"2026 Balance of Power: D Senate, R House","2026 Balance of Power: R Senate, D House",inverse,same_topic_no_trade,contradiction,,[],research_only,0.47927272727272724,0.7,0.7,0.7,3254,3254,1,-283.0503006749434,-283.0503006749434,not_strategy_eligible (ineligible)
5910a43939d7ba6fe59cf6b80718e5c3,553866,564218,Will the San Antonio Spurs win the 2026 NBA Finals?,Will the San Antonio Spurs win the NBA Western Conference Finals?,inverse,same_topic_no_trade,contradiction,nba_championship_conference_progression,"[""nba_world_championship_conference_v1"", ""nba_terms_same_scope_v1""]",reviewed_context_valid,0.43333333333333324,0.75,0.75,0.75,3217,3217,1,5181.592039800995,5181.592039800995,none
51207470d2d1eaeb030793374c6e41bf,553858,564195,Will the New York Knicks win the 2026 NBA Finals?,Will the New York Knicks win the NBA Eastern Conference Finals?,inverse,same_topic_no_trade,contradiction,nba_championship_conference_progression,"[""nba_world_championship_conference_v1"", ""nba_terms_same_scope_v1""]",reviewed_context_valid,0.423076923076923,0.7643,0.75,0.75,3189,3189,1,658.6299272866437,658.6299272866437,none
5cbaac0833c565c415abb666711492a7,553863,564213,Will the Los Angeles Lakers win the 2026 NBA Finals?,Will the Los Angeles Lakers win the NBA Western Conference Finals?,inverse,same_topic_no_trade,contradiction,nba_championship_conference_progression,"[""nba_world_championship_conference_v1"", ""nba_terms_same_scope_v1""]",reviewed_context_valid,0.43333333333333324,0.7857,0.75,0.75,3187,3187,1,-484.85138410511536,-484.85138410511536,none
a6edab19118abe85173fa9a8b0f4cbe4,553856,564210,Will the Oklahoma City Thunder win the 2026 NBA Finals?,Will the Oklahoma City Thunder win the NBA Western Conference Finals?,inverse,same_topic_no_trade,contradiction,nba_championship_conference_progression,"[""nba_world_championship_conference_v1"", ""nba_terms_same_scope_v1""]",reviewed_context_valid,0.557142857142857,0.7643,0.75,0.75,3238,3172,5,494.02948519753966,155.06251795528564,none
c59ce4101206b392aeae82caa975a822,553859,564214,Will the Minnesota Timberwolves win the 2026 NBA Finals?,Will the Minnesota Timberwolves win the NBA Western Conference Finals?,inverse,same_topic_no_trade,contradiction,nba_championship_conference_progression,"[""nba_world_championship_conference_v1"", ""nba_terms_same_scope_v1""]",reviewed_context_valid,0.42727272727272714,0.7643,0.75,0.75,3160,3160,1,-418.7752545961501,-418.7752545961501,none
c6bf427f13b8dd37a99d4208c1976867,562828,562829,"2026 Balance of Power: D Senate, D House","2026 Balance of Power: D Senate, R House",inverse,same_topic_no_trade,contradiction,,[],research_only,0.424,0.7143,0.7,0.7,3142,3142,1,143.13281207533353,143.13281207533353,not_strategy_eligible (ineligible)
8407c57015a96ee8629b28c86de3e9b9,553857,564194,Will the Cleveland Cavaliers win the 2026 NBA Finals?,Will the Cleveland Cavaliers win the NBA Eastern Conference Finals?,inverse,same_topic_no_trade,contradiction,nba_championship_conference_progression,"[""nba_world_championship_conference_v1"", ""nba_terms_same_scope_v1""]",reviewed_context_valid,0.42727272727272714,0.75,0.75,0.75,3063,3063,1,-225.98910210850508,-225.98910210850508,none
3496b04d1407bfa617b8d7e95b3dfc9a,566188,572734,Will Manchester City win the 2025–26 English Premier League?,Will Manchester City finish in 2nd place in the 2025-26 English Premier League?,inverse,same_topic_no_trade,contradiction,,[],research_only,0.4385714285714285,0.7643,0.7929,0.7643,2934,2668,4,308.18969646715,0.0,not_strategy_eligible (ineligible)
32fca2d972de651ddcf98b020db4d8f2,593973,593977,Will Bernie endorse Kshama Sawant for WA-09 by Nov 2 2026 ET?,Will Bernie endorse Alan Grayson for FL-Sen Nov 2 2026 ET?,inverse,same_topic_no_trade,contradiction,,[],research_only,0.43199999999999994,0.7429,0.7643,0.7429,2400,1789,9,560.5406824520769,265.93224354418385,not_strategy_eligible (ineligible)
