decision_id,relationship_id,context_space_id,context_rule_ids_json,previous_validation_status,new_validation_status,previous_strategy_eligibility,new_strategy_eligibility,strategy_lane,decision_reason,evidence_summary,schema_version,ingested_ts_ms,market_id_a,market_id_b,question_a,question_b,relationship_type,relationship_subtype,relationship_family
3515a569fd06372dc5534683ed6dba96,2fc7c0bfadee801d685006086656d299,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447588,540820,540843,Trump out as President before GTA VI?,Will China invades Taiwan before GTA VI?,same_reference_clock,same_reference_clock_only,temporal
e129d9868337f0ce1ac8825cfc4955f7,323a222f5b4e83bb756ed5a6e3c939a1,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",rejected,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447790,540819,573647,Will Jesus Christ return before GTA VI?,Will GPT-6 be released before GTA VI?,rejected,same_reference_clock_only,
0d71b2567a9c9a404ed99049bbc01f26,3408dfe3c22c0d8ccb013839c62ae2aa,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",rejected,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447792,540844,573647,Will bitcoin hit $1m before GTA VI?,Will GPT-6 be released before GTA VI?,rejected,same_reference_clock_only,
c64d7a9234bc17581e9a543ec0861665,3510fa79844874170bc5aa27001fd3f9,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447588,540818,540843,New Playboi Carti Album before GTA VI?,Will China invades Taiwan before GTA VI?,same_reference_clock,same_reference_clock_only,temporal
c729dbc884d6fdd44ad5b8b2328e437e,44b90050a17ee86d2db590ea611662e1,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",rejected,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447792,540820,540844,Trump out as President before GTA VI?,Will bitcoin hit $1m before GTA VI?,rejected,same_reference_clock_only,
dffb2bd678069e56345ff87f10755aee,656c1df5bb31997622521bc9e9f0adc6,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447587,540819,540843,Will Jesus Christ return before GTA VI?,Will China invades Taiwan before GTA VI?,same_reference_clock,same_reference_clock_only,temporal
eb2b3d158cb03f0f6124dbc6804421a2,759843b8ca4b1c0c5f6cd9d21c0f7f06,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",rejected,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447793,540820,573647,Trump out as President before GTA VI?,Will GPT-6 be released before GTA VI?,rejected,same_reference_clock_only,
0212765f3c8ff64e3050dedab59e5bb8,7e196c9cbf9fd7930dfcbf324ce82ebd,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",rejected,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447684,540817,540818,New Rihanna Album before GTA VI?,New Playboi Carti Album before GTA VI?,rejected,same_reference_clock_only,
649ea29fc6b9e9383c2f603d9d720bdc,9f8979f5595d8799aa56516df800886a,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447587,540817,540843,New Rihanna Album before GTA VI?,Will China invades Taiwan before GTA VI?,same_reference_clock,same_reference_clock_only,temporal
551aedbb39b030236fbf1fcc1d6ff93d,a38a46b0aa9e43da32288b6491f29802,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447587,540843,540844,Will China invades Taiwan before GTA VI?,Will bitcoin hit $1m before GTA VI?,same_reference_clock,same_reference_clock_only,temporal
