relationship_id,source,question_a,question_b,relationship_type,relationship_subtype,outcome_space_id,strategy_lane,template_id,flags,guard_results_json,source_row_json,suggested_action
00a6e2c12c1e4d0c465b3910f01ed516,blocked_opportunities,Will Mexico win the 2026 FIFA World Cup?,Will Haiti win the 2026 FIFA World Cup?,rejected,team_wins_championship,world_cup_champion,strict_context_valid,,competition_missing; low_confidence; season_missing; validation_rejected; weak_guard_evidence,{},"{""deterministic_confidence"": 0.45714285714285713, ""evidence_json"": ""{\""entity_score\"": 0.1, \""time_score\"": 1.0, \""resolution_score\"": 0.5, \""threshold_detected\"": false, \""threshold_direction\"": \""none\"", \""sources\"": [\""entity_overlap\""], \""coverage_a_ok\"": true, \""coverage_b_ok\"": true}"", ""final_confidence"": 0.31999999999999995, ""outcome_space_id"": ""world_cup_champion"", ""question_a"": ""Will Mexico win the 2026 FIFA World Cup?"", ""question_b"": ""Will Haiti win the 2026 FIFA World Cup?"", ""rejection_reason"": ""relationship_confidence_below_threshold"", ""relationship_id"": ""00a6e2c12c1e4d0c465b3910f01ed516"", ""relationship_subtype"": ""team_wins_championship"", ""relationship_type"": ""rejected"", ""relationship_validity_status"": ""rejected"", ""strategy_lane"": ""strict_context_valid"", ""validation_status"": ""rejected""}",exclude from execution; inspect context validation before reuse
026d3a8b562b2cd4f1a2b7d05a3a282b,blocked_opportunities,Will Spain win the 2026 FIFA World Cup?,Will Japan win the 2026 FIFA World Cup?,rejected,team_wins_championship,world_cup_champion,strict_context_valid,,competition_missing; low_confidence; season_missing; validation_rejected; weak_guard_evidence,{},"{""deterministic_confidence"": 0.42142857142857143, ""evidence_json"": ""{\""entity_score\"": 0.075, \""time_score\"": 1.0, \""resolution_score\"": 0.4, \""threshold_detected\"": false, \""threshold_direction\"": \""none\"", \""sources\"": [\""entity_overlap\""], \""coverage_a_ok\"": true, \""coverage_b_ok\"": true}"", ""final_confidence"": 0.295, ""outcome_space_id"": ""world_cup_champion"", ""question_a"": ""Will Spain win the 2026 FIFA World Cup?"", ""question_b"": ""Will Japan win the 2026 FIFA World Cup?"", ""rejection_reason"": ""relationship_confidence_below_threshold"", ""relationship_id"": ""026d3a8b562b2cd4f1a2b7d05a3a282b"", ""relationship_subtype"": ""team_wins_championship"", ""relationship_type"": ""rejected"", ""relationship_validity_status"": ""rejected"", ""strategy_lane"": ""strict_context_valid"", ""validation_status"": ""rejected""}",exclude from execution; inspect context validation before reuse
02d060a7c96535f5cc90d8bc29e4376f,blocked_opportunities,Will Spain win the 2026 FIFA World Cup?,Will Panama win the 2026 FIFA World Cup?,rejected,team_wins_championship,world_cup_champion,strict_context_valid,,competition_missing; low_confidence; season_missing; validation_rejected; weak_guard_evidence,{},"{""deterministic_confidence"": 0.41632653061224484, ""evidence_json"": ""{\""entity_score\"": 0.1, \""time_score\"": 1.0, \""resolution_score\"": 0.3571, \""threshold_detected\"": false, \""threshold_direction\"": \""none\"", \""sources\"": [\""entity_overlap\""], \""coverage_a_ok\"": true, \""coverage_b_ok\"": true}"", ""final_confidence"": 0.29142857142857137, ""outcome_space_id"": ""world_cup_champion"", ""question_a"": ""Will Spain win the 2026 FIFA World Cup?"", ""question_b"": ""Will Panama win the 2026 FIFA World Cup?"", ""rejection_reason"": ""relationship_confidence_below_threshold"", ""relationship_id"": ""02d060a7c96535f5cc90d8bc29e4376f"", ""relationship_subtype"": ""team_wins_championship"", ""relationship_type"": ""rejected"", ""relationship_validity_status"": ""rejected"", ""strategy_lane"": ""strict_context_valid"", ""validation_status"": ""rejected""}",exclude from execution; inspect context validation before reuse
032ea93e250161e3f72a5aadc5ee7492,blocked_opportunities,Will France win the 2026 FIFA World Cup?,Will Sweden win the 2026 FIFA World Cup?,rejected,team_wins_championship,world_cup_champion,strict_context_valid,,competition_missing; low_confidence; season_missing; validation_rejected; weak_guard_evidence,{},"{""deterministic_confidence"": 0.46098901098901096, ""evidence_json"": ""{\""entity_score\"": 0.075, \""time_score\"": 1.0, \""resolution_score\"": 0.5385, \""threshold_detected\"": false, \""threshold_direction\"": \""none\"", \""sources\"": [\""entity_overlap\""], \""coverage_a_ok\"": true, \""coverage_b_ok\"": true}"", ""final_confidence"": 0.32269230769230767, ""outcome_space_id"": ""world_cup_champion"", ""question_a"": ""Will France win the 2026 FIFA World Cup?"", ""question_b"": ""Will Sweden win the 2026 FIFA World Cup?"", ""rejection_reason"": ""relationship_confidence_below_threshold"", ""relationship_id"": ""032ea93e250161e3f72a5aadc5ee7492"", ""relationship_subtype"": ""team_wins_championship"", ""relationship_type"": ""rejected"", ""relationship_validity_status"": ""rejected"", ""strategy_lane"": ""strict_context_valid"", ""validation_status"": ""rejected""}",exclude from execution; inspect context validation before reuse
0409c5684357b59e8c7c61e0e4154cab,blocked_opportunities,Will Mexico win the 2026 FIFA World Cup?,Will Iran win the 2026 FIFA World Cup?,rejected,team_wins_championship,world_cup_champion,strict_context_valid,,competition_missing; low_confidence; season_missing; validation_rejected; weak_guard_evidence,{},"{""deterministic_confidence"": 0.4639455782312925, ""evidence_json"": ""{\""entity_score\"": 0.1, \""time_score\"": 1.0, \""resolution_score\"": 0.5238, \""threshold_detected\"": false, \""threshold_direction\"": \""none\"", \""sources\"": [\""entity_overlap\""], \""coverage_a_ok\"": true, \""coverage_b_ok\"": true}"", ""final_confidence"": 0.32476190476190475, ""outcome_space_id"": ""world_cup_champion"", ""question_a"": ""Will Mexico win the 2026 FIFA World Cup?"", ""question_b"": ""Will Iran win the 2026 FIFA World Cup?"", ""rejection_reason"": ""relationship_confidence_below_threshold"", ""relationship_id"": ""0409c5684357b59e8c7c61e0e4154cab"", ""relationship_subtype"": ""team_wins_championship"", ""relationship_type"": ""rejected"", ""relationship_validity_status"": ""rejected"", ""strategy_lane"": ""strict_context_valid"", ""validation_status"": ""rejected""}",exclude from execution; inspect context validation before reuse
052e2f1d1b88951129cf96c4892d54f5,blocked_opportunities,Will Scotland win the 2026 FIFA World Cup?,Will Sweden win the 2026 FIFA World Cup?,rejected,team_wins_championship,world_cup_champion,strict_context_valid,,competition_missing; low_confidence; season_missing; validation_rejected; weak_guard_evidence,{},"{""deterministic_confidence"": 0.46428571428571436, ""evidence_json"": ""{\""entity_score\"": 0.075, \""time_score\"": 1.0, \""resolution_score\"": 0.55, \""threshold_detected\"": false, \""threshold_direction\"": \""none\"", \""sources\"": [\""entity_overlap\""], \""coverage_a_ok\"": true, \""coverage_b_ok\"": true}"", ""final_confidence"": 0.325, ""outcome_space_id"": ""world_cup_champion"", ""question_a"": ""Will Scotland win the 2026 FIFA World Cup?"", ""question_b"": ""Will Sweden win the 2026 FIFA World Cup?"", ""rejection_reason"": ""relationship_confidence_below_threshold"", ""relationship_id"": ""052e2f1d1b88951129cf96c4892d54f5"", ""relationship_subtype"": ""team_wins_championship"", ""relationship_type"": ""rejected"", ""relationship_validity_status"": ""rejected"", ""strategy_lane"": ""strict_context_valid"", ""validation_status"": ""rejected""}",exclude from execution; inspect context validation before reuse
05d1018c84ba511750ae4e33518bb7b8,blocked_opportunities,Will Tunisia win the 2026 FIFA World Cup?,Will Switzerland win the 2026 FIFA World Cup?,rejected,team_wins_championship,world_cup_champion,strict_context_valid,,competition_missing; low_confidence; season_missing; validation_rejected; weak_guard_evidence,{},"{""deterministic_confidence"": 0.45714285714285713, ""evidence_json"": ""{\""entity_score\"": 0.1, \""time_score\"": 1.0, \""resolution_score\"": 0.5, \""threshold_detected\"": false, \""threshold_direction\"": \""none\"", \""sources\"": [\""entity_overlap\""], \""coverage_a_ok\"": true, \""coverage_b_ok\"": true}"", ""final_confidence"": 0.31999999999999995, ""outcome_space_id"": ""world_cup_champion"", ""question_a"": ""Will Tunisia win the 2026 FIFA World Cup?"", ""question_b"": ""Will Switzerland win the 2026 FIFA World Cup?"", ""rejection_reason"": ""relationship_confidence_below_threshold"", ""relationship_id"": ""05d1018c84ba511750ae4e33518bb7b8"", ""relationship_subtype"": ""team_wins_championship"", ""relationship_type"": ""rejected"", ""relationship_validity_status"": ""rejected"", ""strategy_lane"": ""strict_context_valid"", ""validation_status"": ""rejected""}",exclude from execution; inspect context validation before reuse
05f1c8e00519e825c80a8c0e77d8033a,blocked_opportunities,Will England win the 2026 FIFA World Cup?,Will Cape Verde win the 2026 FIFA World Cup?,rejected,team_wins_championship,world_cup_champion,strict_context_valid,,competition_missing; low_confidence; season_missing; validation_rejected; weak_guard_evidence,{},"{""deterministic_confidence"": 0.45093167701863346, ""evidence_json"": ""{\""entity_score\"": 0.1, \""time_score\"": 1.0, \""resolution_score\"": 0.4783, \""threshold_detected\"": false, \""threshold_direction\"": \""none\"", \""sources\"": [\""entity_overlap\""], \""coverage_a_ok\"": true, \""coverage_b_ok\"": true}"", ""final_confidence"": 0.3156521739130434, ""outcome_space_id"": ""world_cup_champion"", ""question_a"": ""Will England win the 2026 FIFA World Cup?"", ""question_b"": ""Will Cape Verde win the 2026 FIFA World Cup?"", ""rejection_reason"": ""relationship_confidence_below_threshold"", ""relationship_id"": ""05f1c8e00519e825c80a8c0e77d8033a"", ""relationship_subtype"": ""team_wins_championship"", ""relationship_type"": ""rejected"", ""relationship_validity_status"": ""rejected"", ""strategy_lane"": ""strict_context_valid"", ""validation_status"": ""rejected""}",exclude from execution; inspect context validation before reuse
0626c9bdf02e2c4ae3e0ed9999dcdef2,blocked_opportunities,Will Portugal win the 2026 FIFA World Cup?,Will Ivory Coast win the 2026 FIFA World Cup?,rejected,team_wins_championship,world_cup_champion,strict_context_valid,,competition_missing; low_confidence; season_missing; validation_rejected; weak_guard_evidence,{},"{""deterministic_confidence"": 0.4503401360544217, ""evidence_json"": ""{\""entity_score\"": 0.1, \""time_score\"": 1.0, \""resolution_score\"": 0.4762, \""threshold_detected\"": false, \""threshold_direction\"": \""none\"", \""sources\"": [\""entity_overlap\""], \""coverage_a_ok\"": true, \""coverage_b_ok\"": true}"", ""final_confidence"": 0.31523809523809515, ""outcome_space_id"": ""world_cup_champion"", ""question_a"": ""Will Portugal win the 2026 FIFA World Cup?"", ""question_b"": ""Will Ivory Coast win the 2026 FIFA World Cup?"", ""rejection_reason"": ""relationship_confidence_below_threshold"", ""relationship_id"": ""0626c9bdf02e2c4ae3e0ed9999dcdef2"", ""relationship_subtype"": ""team_wins_championship"", ""relationship_type"": ""rejected"", ""relationship_validity_status"": ""rejected"", ""strategy_lane"": ""strict_context_valid"", ""validation_status"": ""rejected""}",exclude from execution; inspect context validation before reuse
06b422e93b27094abc0b4f13cd761191,blocked_opportunities,Will Spain win the 2026 FIFA World Cup?,Will USA win the 2026 FIFA World Cup?,rejected,team_wins_championship,world_cup_champion,strict_context_valid,,competition_missing; low_confidence; season_missing; validation_rejected; weak_guard_evidence,{},"{""deterministic_confidence"": 0.40852534562211984, ""evidence_json"": ""{\""entity_score\"": 0.075, \""time_score\"": 1.0, \""resolution_score\"": 0.3548, \""threshold_detected\"": false, \""threshold_direction\"": \""none\"", \""sources\"": [\""entity_overlap\""], \""coverage_a_ok\"": true, \""coverage_b_ok\"": true}"", ""final_confidence"": 0.28596774193548385, ""outcome_space_id"": ""world_cup_champion"", ""question_a"": ""Will Spain win the 2026 FIFA World Cup?"", ""question_b"": ""Will USA win the 2026 FIFA World Cup?"", ""rejection_reason"": ""relationship_confidence_below_threshold"", ""relationship_id"": ""06b422e93b27094abc0b4f13cd761191"", ""relationship_subtype"": ""team_wins_championship"", ""relationship_type"": ""rejected"", ""relationship_validity_status"": ""rejected"", ""strategy_lane"": ""strict_context_valid"", ""validation_status"": ""rejected""}",exclude from execution; inspect context validation before reuse
